"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"268449",1123.13504715103,-3.13789394260654,0.475333519980918,-6.60145731513425,4.07135498555587e-11,5.73816771664244e-07
"16518",1126.45842179053,1.04076611835452,0.164698983563917,6.319201830111,2.6291770982111e-10,1.85278110110936e-06
"269132",60.9723985297736,2.0243885421985,0.375252251726212,5.39474055888016,6.86226333750153e-08,0.000305975977232121
"21378",394.156837076807,1.41513309270407,0.264396717355915,5.35230961585314,8.68386482849783e-08,0.000305975977232121
"330256",456.184245939208,1.17208556665411,0.228952446631465,5.11934064867523,3.06605710229625e-07,0.000864260175995267
"18126",12807.5038341083,0.948643255169101,0.189181259379182,5.01446738584029,5.31805719189305e-07,0.00124921163437568
"58223",16652.0927383061,-0.773839562768572,0.156864358198748,-4.93317648224533,8.09029932600024e-07,0.00162892398143782
"19260",1606.58439659062,0.547747376155728,0.111709201892275,4.90333264294503,9.42242225556751e-07,0.00165999524087461
"19225",56838.4301873645,0.863524797789298,0.177688302249255,4.8597729105317,1.17520477137709e-06,0.00167395284644671
"20303",1418.08419165011,1.07267666154641,0.220820884696725,4.85767758343881,1.18770600712836e-06,0.00167395284644671
"16362",3792.62295603779,0.706899871616177,0.154452732377956,4.57680392397555,4.721335974936e-06,0.00604931902097709
"27273",9.83411301613405,-6.6152530917195,1.46887542918805,-4.50361750238835,6.68064022641233e-06,0.00784641194592128
"14066",329.454109176923,1.52064734191059,0.34086389857247,4.46115692591391,8.1518367611421e-06,0.00883784517781052
"442834",400.058961686191,1.03330888708981,0.233404358495951,4.42711907244754,9.55000199239862e-06,0.00961412343434758
"218963",3326.92170110732,-1.77821614930944,0.411212372432163,-4.32432550312623,1.52999251600432e-05,0.0143758096803766
"387173",110.649104073512,1.31903798241702,0.30617949167248,4.30805464863725,1.64696697645862e-05,0.0145077203538799
"18984",7880.68412775722,-0.635944464963561,0.14821587088541,-4.29066375391894,1.7813987004235e-05,0.0147688431080993
"22236",23.7428090738003,2.95303224453552,0.697626256188365,4.23297176438007,2.3062346892633e-05,0.0180578176169316
"13654",4151.67738830861,1.19428505446888,0.283714376869728,4.20946258573726,2.55978824965798e-05,0.0189882397845682
"18025",64.2182191725543,1.41572078486379,0.338426308277516,4.1832468405585,2.87375071126318e-05,0.0202513212622717
"109019",2504.40013095544,0.531130667493753,0.127966592800718,4.15054160518972,3.31689466462464e-05,0.0222611016205808
"100503392",779.586507169754,0.580301764359295,0.142628582492961,4.06862183032587,4.72920315388852e-05,0.0292764248040908
"59001",370.310319410539,-0.704504425168118,0.173256652108499,-4.06624748080053,4.77762005459124e-05,0.0292764248040908
"51875",132.584251658272,-1.21389681112467,0.300691796478555,-4.03701339823964,5.41359782226267e-05,0.0305637680559704
"69895",177.888518182623,0.882572688277835,0.218638543803062,4.03667474602652,5.42141479636199e-05,0.0305637680559704
"100862238",8.12155775558182,-6.3311991271884,1.57219631691278,-4.02697745763744,5.64984468438942e-05,0.0306265042237633
"21941",128.675621351825,1.59590739278579,0.39982538799139,3.99151089630195,6.56536712245901e-05,0.034271216379236
"20918",4206.71143488569,-0.950627979634187,0.241248467349081,-3.94045189210944,8.13282599817165e-05,0.0386581206141139
"56334",9196.99427899757,-0.489258046251719,0.124251539831544,-3.93764171385754,8.22863359176541e-05,0.0386581206141139
"232934",23.9175670774121,2.1406789893802,0.543415829244971,3.93930186456749,8.17190580546184e-05,0.0386581206141139
"18130",1227.97411469453,0.547706365518016,0.140464068409717,3.89926314764302,9.64858685715766e-05,0.0424959947389938
"12053",950.908711265292,0.665453135374762,0.170335205990529,3.90672692415544,9.35547815248584e-05,0.0424959947389938
"57279",866.742276748564,-0.680022603182336,0.175241933497025,-3.88047877361431,0.000104251043486567,0.0445246729363537
"103963",7124.53744554287,-0.462880730330645,0.120288860360058,-3.8480764465231,0.000119048907403084,0.0493492735570313
"100504721",14.8757121483252,6.76592176822163,1.79206564023741,3.77548769213906,0.000159694909998212,0.0643068589004231
"19041",30.5856206895133,1.9831127574788,0.527737834017924,3.75776120195969,0.00017144037087423,0.0653048807324703
"100316717",8.79198480446279,-5.70486858314441,1.51738608280172,-3.75966845076822,0.000170138686455589,0.0653048807324703
"353328",91.0222904304282,1.66710521212099,0.447054939396673,3.7290835313683,0.000192177444107147,0.0712776025591086
"68386",18.0751682277082,2.5851023861239,0.699130670218652,3.69759545138452,0.000217651388870103,0.0786558634547494
"53881",748.674460924843,1.30174412196496,0.353084512305975,3.68677774469161,0.000227111544953332,0.0800227528643065
"83430",404.495217067075,1.49899923595274,0.40797099978272,3.67427889911558,0.000238522085217138,0.0819934211963498
"21928",10273.2462315598,0.646250812516338,0.176366622492047,3.66424668899854,0.000248067609605718,0.0825845904062642
"14461",13.2470327330744,-4.76861380872863,1.30280793351348,-3.66025849709741,0.000251960932841589,0.0825845904062642
"208628",102.85790401859,1.75658573958426,0.485439742242889,3.61854538622706,0.000296263547754754,0.0948986009558069
"319830",30.1157934198784,2.0857866566541,0.579286556748903,3.60061291316692,0.00031746792178109,0.0994309531018375
"66961",7171.09013203394,0.821286331843834,0.22885758562778,3.58863495649909,0.00033241390510758,0.0996817357146008
"101835",33.0179146184277,2.45327429685085,0.68340514334294,3.58978026540805,0.000330956826716823,0.0996817357146008
"100503323",7.24274801773856,4.93493631631969,1.38973252873623,3.55099719858132,0.000383774501815024,0.102223318851684
"80859",25107.6166084648,1.04492574952658,0.294239104144859,3.55128103235439,0.00038336083609119,0.102223318851684
